date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,,Actual Sell,pl,,
14/08/25,SBCL,Smallcap,Metals & Mining,545.33,473.75,18,9815.85,8527.50,-1288.35,,,,,,
30/06/25,SBFC,Midcap,Financials,113.69,109.30,88,10004.72,9618.40,-386.32,,,,,,
24/10/25,SCI,Midcap,Transportation,273.00,265.30,37,10101.00,9816.10,-284.90,,,,,,
22/04/25,SDBL,Smallcap,FMCG,144.00,121.47,69,9936.00,8381.43,-1554.57,,,,,,
04/06/25,SERVOTECH,Smallcap,Industrials,164.94,101.87,61,10061.16,6214.07,-3847.09,,,,,,
20/06/25,SESHAPAPER,Smallcap,Building Materials,304.00,256.75,33,10032.00,8472.75,-1559.25,,,,,,
22/09/25,SHALBY,Smallcap,Healthcare,263.91,224.83,38,10028.58,8543.54,-1485.04,,,,,,
05/09/25,SHALBY,Smallcap,Healthcare,225.00,224.83,44,9900.00,9892.52,-7.48,,,,,,
22/07/25,SHANTIGEAR,Smallcap,Industrials,566.50,471.00,18,10197.00,8478.00,-1719.00,,,,,,
25/07/25,SHARDACROP,Midcap,Chemicals,1081.81,772.45,9,9736.29,6952.05,-2784.24,,,,,,
22/07/25,SHARDAMOTR,Midcap,Auto,1175.10,1025.80,9,10575.90,9232.20,-1343.70,,,,,,
06/11/25,SHARDAMOTR,Midcap,Auto,1139.00,1025.80,9,10251.00,9232.20,-1018.80,,,,,,
02/07/25,SHARDAMOTR,Midcap,Auto,1049.70,1025.80,10,10497.00,10258.00,-239.00,,,,,,
26/05/25,SHILPAMED,Smallcap,Healthcare,426.48,379.60,23,9809.11,8730.80,-1078.31,,,,,,
19/05/25,SHK,Smallcap,Chemicals,230.80,169.69,43,9924.37,7296.67,-2627.70,,,,,,
16/07/25,SHOPERSTOP,Midcap,Consumer Discretionary,568.00,462.45,18,10224.00,8324.10,-1899.90,,,,,,
25/08/25,SHREDIGCEM,Smallcap,Building Materials,100.00,90.09,100,10000.00,9009.00,-991.00,,,,,,
20/08/25,SHREDIGCEM,Smallcap,Building Materials,93.33,90.09,107,9986.69,9639.63,-347.06,,,,,,
22/09/25,SHREEPUSHK,Smallcap,Chemicals,461.80,412.70,22,10159.60,9079.40,-1080.20,,,,,,
27/05/25,SHRIRAMPPS,Smallcap,Realty,97.00,89.79,103,9991.00,9248.37,-742.63,,,,,,
03/10/25,SHYAMMETL,Largecap,Metals & Mining,975.60,855.80,10,9756.00,8558.00,-1198.00,,,,,,
28/05/25,SIGACHI,Smallcap,Healthcare,50.39,35.58,198,9978.18,7044.84,-2933.34,,,,,,
19/08/25,SIGNPOST,Smallcap,Miscellaneous,282.41,236.97,35,9884.44,8293.95,-1590.49,,,,,,
18/08/25,SIGNPOST,Smallcap,Miscellaneous,264.44,236.97,38,10048.86,9004.86,-1044.00,,,,,,
15/09/25,SIMPLEXINF,Smallcap,Realty,321.70,286.50,31,9972.70,8881.50,-1091.20,,,,,,
04/07/25,SINDHUTRAD,Smallcap,Transportation,36.89,23.68,271,9997.19,6417.28,-3579.91,,,,,,
01/07/25,SINDHUTRAD,Smallcap,Transportation,28.50,23.68,351,10003.50,8311.68,-1691.82,,,,,,
04/11/25,SIYSIL,Smallcap,Textiles,822.12,790.15,12,9865.45,9481.80,-383.65,,,,,,
16/05/25,SKFINDIA,Midcap,Industrials,4598.07,2045.00,2,9196.15,4090.00,-5106.15,,,,,,
01/08/25,SKIPPER,Midcap,Industrials,523.85,500.30,19,9953.21,9505.70,-447.52,,,,,,
11/09/25,SMSPHARMA,Smallcap,Healthcare,296.49,285.30,34,10080.78,9700.20,-380.58,,,,,,
25/07/25,SOLARA,Smallcap,Healthcare,701.00,572.95,14,9814.00,8021.30,-1792.70,,,,,,
25/06/25,SOLARA,Smallcap,Healthcare,628.10,572.95,16,10049.60,9167.20,-882.40,,,,,,
09/06/25,SOMANYCERA,Smallcap,Building Materials,596.24,441.35,17,10136.14,7502.95,-2633.19,,,,,,
08/07/25,SONATSOFTW,Midcap,I.T,432.46,374.15,23,9946.62,8605.45,-1341.17,,,,,,
20/10/25,SOUTHBANK,Midcap,Bank,39.00,38.00,256,9984.00,9728.00,-256.00,,,,,,
08/05/25,SPAL,Smallcap,Textiles,853.27,784.20,12,10239.22,9410.40,-828.82,,,,,,
15/07/25,SPANDANA,Smallcap,Financials,297.09,275.95,34,10101.02,9382.30,-718.72,,,,,,
28/05/25,SPARC,Smallcap,Healthcare,171.18,132.07,58,9928.44,7660.06,-2268.38,,,,,,
18/08/25,SPIC,Smallcap,Chemicals,101.46,89.75,99,10044.53,8885.25,-1159.28,,,,,,
24/07/25,SPIC,Smallcap,Chemicals,93.66,89.75,107,10021.52,9603.25,-418.27,,,,,,
23/06/25,SPLPETRO,Midcap,Energy,866.70,645.10,12,10400.45,7741.20,-2659.25,,,,,,
01/08/25,SPLPETRO,Midcap,Energy,842.20,645.10,12,10106.35,7741.20,-2365.15,,,,,,
18/08/25,SPLPETRO,Midcap,Energy,807.31,645.10,12,9687.75,7741.20,-1946.55,,,,,,
10/07/25,SPMLINFRA,Smallcap,Realty,279.50,215.30,36,10062.00,7750.80,-2311.20,,,,,,
21/07/25,MANGCHEFER,Smallcap,Chemicals,,,,,,,,,,,,
19/06/25,SPMLINFRA,Smallcap,Realty,244.00,215.30,41,10004.00,8827.30,-1176.70,,,,,,
16/07/25,SPORTKING,Smallcap,Textiles,130.82,102.24,76,9942.57,7770.24,-2172.33,,,,,,
02/05/25,SPORTKING,Smallcap,Textiles,113.78,102.24,88,10012.35,8997.12,-1015.23,,,,,,
09/07/25,STANLEY,Smallcap,Consumer Discretionary,351.60,240.45,28,9844.80,6732.60,-3112.20,,,,,,
03/11/25,STAR,Midcap,Healthcare,983.00,943.55,10,9830.00,9435.50,-394.50,,,,,,
12/08/25,STARCEMENT,Midcap,Building Materials,287.99,233.95,35,10079.81,8188.25,-1891.56,,,,,,
04/08/25,STARCEMENT,Midcap,Building Materials,264.08,233.95,38,10034.97,8890.10,-1144.87,,,,,,
18/07/25,STERTOOLS,Smallcap,Industrials,373.20,298.30,27,10076.34,8054.10,-2022.24,,,,,,
18/08/25,STOVEKRAFT,Smallcap,Consumer Discretionary,665.46,643.15,15,9981.94,9647.25,-334.69,,,,,,
30/05/25,STYRENIX,Smallcap,Energy,3176.01,2247.30,3,9528.03,6741.90,-2786.13,,,,,,
23/09/25,SUBROS,Midcap,Auto,1126.65,894.60,9,10139.85,8051.40,-2088.45,,,,,,
16/06/25,SUBROS,Midcap,Auto,1024.15,894.60,10,10241.46,8946.00,-1295.46,,,,,,
28/07/25,SUDARSCHEM,Midcap,Chemicals,1359.94,1035.80,7,9519.56,7250.60,-2268.96,,,,,,
09/06/25,SUDARSCHEM,Midcap,Chemicals,1287.46,1035.80,8,10299.67,8286.40,-2013.27,,,,,,
11/06/25,SULA,Smallcap,FMCG,322.60,247.20,31,10000.60,7663.20,-2337.40,,,,,,
30/07/25,SUMICHEM,Largecap,Chemicals,640.00,464.80,16,10240.00,7436.80,-2803.20,,,,,,
26/08/25,SUMMITSEC,Smallcap,Financials,2338.00,2201.00,4,9352.00,8804.00,-548.00,,,,,,
16/10/25,SUMMITSEC,Smallcap,Financials,2222.20,2201.00,5,11111.00,11005.00,-106.00,,,,,,
05/06/25,SUNFLAG,Smallcap,Metals & Mining,296.26,259.35,34,10072.71,8817.90,-1254.81,,,,,,
23/09/25,SUPRAJIT,Midcap,Auto,500.00,460.25,20,10000.00,9205.00,-795.00,,,,,,
01/10/25,SURYODAY,Smallcap,Bank,155.99,137.53,64,9983.36,8801.92,-1181.44,,,,,,
30/05/25,SUZLON,Largecap,Industrials,72.20,57.68,139,10035.80,8017.52,-2018.28,,,,,,
01/08/25,SUZLON,Largecap,Industrials,66.60,57.68,150,9990.00,8652.00,-1338.00,,,,,,
15/07/25,SWANCORP,Midcap,Textiles,499.90,457.25,20,9997.95,9145.00,-852.95,,,,,,
07/11/25,SWANCORP,Midcap,Textiles,468.00,457.25,21,9828.00,9602.25,-225.75,,,,,,
15/07/25,SWARAJENG,Smallcap,Industrials,4650.00,4017.50,2,9300.00,8035.00,-1265.00,,,,,,
07/07/25,SWARAJENG,Smallcap,Industrials,4269.00,4017.50,2,8538.00,8035.00,-503.00,,,,,,
