date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,
03/09/25,TBOTEK,Midcap,I.T,1615.00,1572.40,6,9690.00,9434.40,-255.60,,
16/10/25,GAEL,Smallcap,FMCG,106.16,103.32,94,9979.04,9712.08,-266.96,,
13/11/25,GOLDIAM,Smallcap,Consumer Discretionary,390.00,379.70,26,10140.00,9872.20,-267.80,,
16/07/25,SIMPLEXINF,Smallcap,Realty,294.65,286.50,34,10018.10,9741.00,-277.10,,
21/08/25,BFINVEST,Smallcap,Financials,478.05,463.40,21,10039.05,9731.40,-307.65,,
10/09/25,PICCADIL,Midcap,FMCG,640.00,620.30,16,10240.00,9924.80,-315.20,,
09/05/25,IDEAFORGE,Smallcap,Aerospace & Defence,480.00,464.65,21,10080.00,9757.65,-322.35,,
02/04/25,HESTERBIO,Smallcap,Healthcare,1733.89,1679.90,6,10403.32,10079.40,-323.92,,
02/09/25,GUJALKALI,Smallcap,Chemicals,572.75,553.50,17,9736.69,9409.50,-327.19,,
09/10/25,MANALIPETC,Smallcap,Energy,70.50,68.15,142,10011.00,9677.30,-333.70,,
16/04/25,MAXIND,Smallcap,Financials,214.71,207.57,47,10091.37,9755.79,-335.58,,
17/09/25,CANTABIL,Smallcap,Textiles,267.75,258.65,37,9906.75,9570.05,-336.70,,
22/05/25,RELAXO,Midcap,Consumer Discretionary,441.16,426.15,23,10146.59,9801.45,-345.14,,
11/11/25,PANAMAPET,Smallcap,Energy,301.00,290.35,33,9933.00,9581.55,-351.45,,
19/08/25,EXIDEIND,Largecap,Auto,395.10,381.00,25,9877.50,9525.00,-352.50,,
12/11/25,UNIECOM,Smallcap,I.T,136.80,131.96,73,9986.40,9633.08,-353.32,,
31/10/25,AVTNPL,Smallcap,FMCG,74.08,71.35,135,10000.80,9632.25,-368.55,,
03/04/25,VTL,Midcap,Textiles,470.68,452.80,21,9884.31,9508.80,-375.51,,
03/10/25,EIHOTEL,Largecap,Services,392.00,377.10,26,10192.00,9804.60,-387.40,,
03/04/25,ALEMBICLTD,Smallcap,Realty,105.44,101.34,95,10016.76,9627.30,-389.46,,
24/09/25,MATRIMONY,Smallcap,Miscellaneous,523.35,502.85,19,9943.65,9554.15,-389.50,,
24/10/25,CREDITACC,Largecap,Financials,1422.50,1366.70,7,9957.50,9566.90,-390.60,,
24/07/25,GRAVITA,Midcap,Metals & Mining,1821.00,1742.20,5,9105.00,8711.00,-394.00,,
20/10/25,BHARATRAS,Smallcap,Chemicals,10500.00,10103.00,1,10500.00,10103.00,-397.00,,
06/10/25,EMCURE,Largecap,Healthcare,1429.10,1371.80,7,10003.70,9602.60,-401.10,,
13/11/25,INDOTECH,Smallcap,Industrials,1930.00,1849.60,5,9650.00,9248.00,-402.00,,
22/09/25,TINNARUBR,Smallcap,FMCG,941.00,903.75,11,10351.00,9941.25,-409.75,,
12/11/25,IRMENERGY,Smallcap,Energy,329.80,316.00,30,9894.00,9480.00,-414.00,,
24/03/25,JBMA,Midcap,Auto,661.02,633.40,15,9915.25,9501.00,-414.25,,
28/10/25,SURAJEST,Smallcap,Realty,303.00,290.25,33,9999.00,9578.25,-420.75,,
06/10/25,BBTC,Midcap,Auto,1915.00,1830.70,5,9575.00,9153.50,-421.50,,
27/10/25,BRIGHOTEL,Smallcap,Services,82.90,79.32,121,10030.90,9597.72,-433.18,,
10/07/25,CAMPUS,Midcap,Consumer Discretionary,285.44,272.70,35,9990.23,9544.50,-445.73,,
20/05/25,HNDFDS,Midcap,FMCG,566.30,540.55,18,10193.40,9729.90,-463.50,,
06/10/25,MANAKCOAT,Smallcap,Metals & Mining,147.20,140.30,68,10009.60,9540.40,-469.20,,
12/08/25,HMAAGRO,Smallcap,FMCG,31.46,29.98,318,10003.83,9533.64,-470.19,,
13/11/25,SANOFICONR,Midcap,Healthcare,5075.00,4831.90,2,10150.00,9663.80,-486.20,,
03/11/25,MEDPLUS,Midcap,Consumer Discretionary,823.00,781.25,12,9876.00,9375.00,-501.00,,
07/07/25,SWARAJENG,Smallcap,Industrials,4269.00,4017.50,2,8538.00,8035.00,-503.00,,
16/07/25,BIKAJI,Midcap,FMCG,752.05,711.95,13,9776.68,9255.35,-521.33,,
04/11/25,SHARDAMOTR,Midcap,Auto,1084.40,1025.80,9,9759.60,9232.20,-527.40,,
17/10/25,VHL,Smallcap,Financials,4000.00,3735.00,2,8000.00,7470.00,-530.00,,
08/09/25,ARISINFRA,Smallcap,Services,162.80,154.04,61,9930.80,9396.44,-534.36,,
25/06/25,BBL,Smallcap,Industrials,3119.05,2934.70,3,9357.16,8804.10,-553.06,,
28/10/25,NEWGEN,Midcap,I.T,996.55,940.70,10,9965.50,9407.00,-558.50,,
19/08/25,RAYMONDLSL,Midcap,Textiles,1195.20,1124.50,8,9561.60,8996.00,-565.60,,
